id_num,age,monthly_income,credit_score,loan_amount,interest_rate,debt_to_income_ratio,late_payment_count_12m,financial_confidence,bank_type,risk_keywords_present,customer_statement,loan_default,risk_flag,Sentiment_Score
bdd640fb-0667-4ad1-9c80-317fa3b1799d,59,3360,578,43158,19.6398788362281,12.844642857142857,0,Medium,Traditional,0,"I am writing to report financial difficulties because I have been in such trouble for long; I have been so ill that I have decided to write to the financial crisis that I am afraid I will die soon. But I hope I will make the right decision soon. I need time, work, and time to reach out to the people to get help. If you are fortunate enough to have such a large team in the last 7 years, you will be able to help me through this crisis.",1,2,0.5
23b8c1e9-3924-46de-beb1-3b9046685257,42,3269,648,7433,8.636499344142013,2.2737840318140106,0,Low,Traditional,0,"I want to invest my savings in the very moment I have to leave the house.” That” “I’ll only have to stop this time. I‭want to save $110 million to buy a new home.” The money that it may take for a home is also going to have to be made available to help pay for it. It“will be made available through the federal government. For the first time in my life, I see it as a positive investment.‡  ―It“should be part of the budget.”",0,0,0.5
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,62,4547,718,7747,12.327236865873834,1.7037607213547394,0,Medium,Digital,0,"I want to invest my savings in the next year.      That's the plan. That's all we've heard of. This is the real deal. The money you don't want to spend on something is not so huge. You can't spend money just by going for what you want in college. You're not going to spend it as a student, though. This plan is not something that you can't spend. It's something you have to make sure you are comfortable with. We need to make sure you are comfortable with this plan. Don't expect that. It's not that you're going to spend money on something, but it's not like you're going to spend money on something. If you're going to spend money on something, and if you're going to invest in something of great importance, you should pay attention to what's the most important lesson to do: If you pay attention to what's the biggest value for this kind of deal, and it's going to cost you money, then you should be doing a lot less work because you really are not going to save that much. Don't expect that. Do you care about what's worth it to us and your children? You should be spending money on",1,0,0.5
972a8469-1641-4f82-8b9d-2434e465e150,41,7893,667,15627,23.844035113697053,1.9798555682250094,1,Medium,Traditional,0,"I want to invest my savings in the next year.      That's the plan. That's all we've heard of. This is the real deal. The money you don't want to spend on something is not so huge. You can't spend money just by going for what you want in college. You're not going to spend it as a student, though. This plan is not something that you can't spend. It's something you have to make sure you are comfortable with. We need to make sure you are comfortable with this plan. Don't expect that. It's not that you're going to spend money on something, but it's not like you're going to spend money on something. If you're going to spend money on something, and if you're going to invest in something of great importance, you should pay attention to what's the most important lesson to do: If you pay attention to what's the biggest value for this kind of deal, and it's going to cost you money, then you should be doing a lot less work because you really are not going to save that much. Don't expect that. Do you care about what's worth it to us and your children? You should be spending money on",0,0,0.5
17fc695a-07a0-4a6e-8822-e8f36c031199,64,3275,573,49974,8.467293070155442,15.259236641221374,1,Low,Traditional,0,"I am writing to report financial difficulties because of the problems that have been caused, and to have the benefit of making it hard for you to start the business.›   I am very happy, and also very happy that we are now able to see what is happening here. I hope to report that there are more and more opportunities. I appreciate that everyone has a plan and we should be able to work together, in many cases in many cases. In some cases I› hope that all the money that we have made here will be used to build more real estate, more affordable housing, more access to health and safety, more affordable housing and more jobs. In the meantime, I am very happy that we are now able to see how you are coping with the problems that are happening here, but to have the benefit of making it hard for you to start the business. Thank you for visiting me.",1,2,0.31337785720825195
9a1de644-815e-46d1-bb8f-aa1837f8a88b,64,2661,606,42065,22.896547008552975,15.807966929725668,2,Medium,Digital,0,"I am writing to report financial difficulties because of these things. The first things I want to do is write to the press. That will help me find a way to bring my money back to the company. The second thing I want to do is come up with a way for other people to think about what I'm doing. If you have any questions or suggestions, please do let me know. If you have any questions or suggestions, please let me know!",1,2,0.5
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,38,3378,638,14268,16.735023313276965,4.2238010657193605,0,Medium,Traditional,0,"I want to invest my savings in these products so they’re able to purchase the product,’ so I want to invest everything that people want from this product to be able to purchase it.",1,1,0.5
6b65a6a4-8b81-48f6-b38a-088ca65ed389,21,4527,666,7695,5.110442342472048,1.6998011928429424,3,Low,Digital,0,"I want to invest my savings in better education in order to achieve a better education.""     The British Association for Educational Reform said the referendum may well cause some ""significant"" problems in schools in the UK.   ""What we are looking at is if we have a major problem with schools, we have to take action to help the people in the UK develop better teaching skills,"" said David Pate, president of the association. ""While we have a huge need to fix our schools, our schools will benefit. These are particularly important today as the country leaves behind the most vital social and political interests of our time. ""We should also look at teaching to young people. ""For example if we learn about the NHS we can work with other countries to support students and ensure they learn the English, to support public services, and to encourage them to learn English in education."" In a statement, the association called on government ""to show the world that education is always our greatest value."" It said the referendum was intended to help the British people continue to be highly focused on improving public services.",1,1,0.7238346338272095
47378190-96da-4dac-b2ff-5d2a386ecbe0,28,5604,716,28599,12.416365043965328,5.103319057815845,1,High,Digital,0,"I want to invest my savings in some things, so I am also going to try and get back in touch with some folks.",0,1,0.5
c241330b-01a9-471f-9e8a-774bcf36d58b,25,9885,760,38270,20.41934359909122,3.8715225088517955,1,Low,Traditional,0,I am writing to report financial difficulties because the mortgage and other related financial problems that lead to the purchase of the properties are happening to you. Please contact The Attorney General for a timely and timely response.                                                                                                                                                                                                                                ,1,1,0.5
